TxnID,CustomerID,Amount,Currency,Status,Region,Method,CreatedAt
TXN-0000001,CUST-43445,4739.42,AUD,Authorized,EU,MasterCard,2024-01-01T00:01:13Z
TXN-0000002,CUST-48931,2914.76,JPY,Authorized,EU,UPI,2024-01-01T00:02:26Z
TXN-0000003,CUST-55810,351.13,EUR,Voided,AU,Visa,2024-01-01T00:03:39Z
TXN-0000004,CUST-75115,620.75,JPY,Voided,US,UPI,2024-01-01T00:04:52Z
TXN-0000005,CUST-7499,4881.31,USD,Voided,JP,GiftCard,2024-01-01T00:06:05Z
TXN-0000006,CUST-55937,722.98,EUR,Voided,UK,Amex,2024-01-01T00:07:18Z
TXN-0000007,CUST-14507,2908.83,JPY,Refunded,EU,MasterCard,2024-01-01T00:08:31Z
TXN-0000008,CUST-74972,299.88,JPY,Declined,AU,BankTransfer,2024-01-01T00:09:44Z
TXN-0000009,CUST-62027,2928.63,BRL,Refunded,UK,Wallet,2024-01-01T00:10:57Z
TXN-0000010,CUST-24562,3495.56,JPY,Authorized,UK,SEPA,2024-01-01T00:12:10Z
TXN-0000011,CUST-46020,3647.76,INR,Voided,EU,MasterCard,2024-01-01T00:13:23Z
TXN-0000012,CUST-68100,2091.77,CAD,Captured,BR,UPI,2024-01-01T00:14:36Z
TXN-0000013,CUST-6138,4810.16,EUR,Voided,CA,BankTransfer,2024-01-01T00:15:49Z
TXN-0000014,CUST-92133,1752.18,BRL,Voided,BR,MasterCard,2024-01-01T00:17:02Z
TXN-0000015,CUST-13267,4723.51,BRL,Authorized,US,GiftCard,2024-01-01T00:18:15Z
TXN-0000016,CUST-85820,2890.57,BRL,Refunded,AU,BankTransfer,2024-01-01T00:19:28Z
TXN-0000017,CUST-3957,4703.35,CAD,Captured,EU,SEPA,2024-01-01T00:20:41Z
TXN-0000018,CUST-8727,1092.59,INR,Captured,IN,UPI,2024-01-01T00:21:54Z
