txn_id,timestamp,feature,merchant,instrument,amount_inr,status,customer_id,description
AP00000001,2026-02-02T07:35:11Z,Buy Now Pay Later,Uber,AMAZON_PAY_WALLET,5825.97,REVERSED,CUST573817,Amazon Pay - Buy Now Pay Later via Uber
AP00000002,2026-04-06T03:54:13Z,UPI Payments,Uber,AMAZON_PAY_UPI,7164.35,REVERSED,CUST291202,Amazon Pay - UPI Payments via Uber
AP00000003,2026-01-28T14:07:51Z,Recurring Payments,Indigo,AMAZON_PAY_UPI,45.87,FAILED,CUST398941,Amazon Pay - Recurring Payments via Indigo
AP00000004,2026-01-28T03:43:39Z,Amazon Pay Wallet,ACT Fibernet,AMAZON_PAY_WALLET,2331.65,SUCCESS,CUST818541,Amazon Pay - Amazon Pay Wallet via ACT Fibernet
AP00000005,2026-03-18T07:18:51Z,Send Money to Contacts,EatSure,EMI,1102.53,SUCCESS,CUST834036,Amazon Pay - Send Money to Contacts via EatSure
AP00000006,2026-02-04T05:02:45Z,Bill Payments,Practo,AMAZON_PAY_WALLET,4053.0,FAILED,CUST342140,Amazon Pay - Bill Payments via Practo
AP00000007,2026-05-07T03:18:27Z,Mobile Recharge,Bookmyshow,CARD_TOKEN,9779.91,FAILED,CUST600256,Amazon Pay - Mobile Recharge via Bookmyshow
AP00000008,2026-02-15T01:11:50Z,DTH Recharge,Tata Power,CARD_TOKEN,3306.98,SUCCESS,CUST363421,Amazon Pay - DTH Recharge via Tata Power
AP00000009,2026-04-15T22:36:36Z,Insurance Premium Payments,Swiggy,AMAZON_PAY_WALLET,9560.38,REFUNDED,CUST149285,Amazon Pay - Insurance Premium Payments via Swiggy
AP00000010,2026-04-12T19:21:54Z,Credit Card Bill Payments,Domino's,NETBANKING,6475.95,FAILED,CUST290072,Amazon Pay - Credit Card Bill Payments via Domino's
AP00000011,2026-01-12T18:14:52Z,EMI Auto-Debit,Domino's,NETBANKING,7640.45,SUCCESS,CUST274192,Amazon Pay - EMI Auto-Debit via Domino's
AP00000012,2026-02-08T08:33:15Z,Rewards & Cashback,Cleartrip,AMAZON_PAY_WALLET,8993.91,REVERSED,CUST631504,Amazon Pay - Rewards & Cashback via Cleartrip
